Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E05000192,Walpole,Ealing,81.87400374,15.59322034,1.170212766,3.586845112,77.67027163,0,372.3714286,0.464608696,9.464285714,3.820801654,-2.230529537,8.0
E05000193,Bowes,Enfield,84.19785506,20.18927445,1.764705882,6.595761416,74.30485684,0.138888889,343.0201681,1.149479167,21.52542373,3.886243538,-10.94985273,7.4
E05000194,Bush Hill Park,Enfield,82.96800899,23.21899736,1.538461538,3.859417171,69.51202124,0.425531915,371.5748387,0.879727216,11.63934426,2.737835199,0.551715923,7.4
E05000195,Chase,Enfield,79.49183734,22.95454545,2.51396648,6.38757699,65.44122091,0.931899642,337.610828,1.37687039,21.91780822,1.954321284,15.41660175,7.2
E05000196,Cockfosters,Enfield,84.60807583,20.23809524,1.657458564,3.915407874,51.0038809,0.496453901,364.4105263,0.864131245,12.28070175,2.612969454,11.39553685,7.4
E05000197,Edmonton Green,Enfield,81.91315204,30.94233474,2.905982906,19.28036647,107.8302917,1.043956044,327.5596899,2.109138786,33.16239316,3.939437924,3.100938181,7.4
E05000198,Enfield Highway,Enfield,82.99012024,24.96194825,2.115384615,9.905043006,78.84394259,0.981595092,338.2641434,1.659386153,31.93877551,2.527136561,1.243295304,7.2
E05000199,Enfield Lock,Enfield,79.24245121,28.01788376,2.100456621,10.63182196,78.34601046,0.535714286,333.8891566,2.241090555,35.71428571,2.581623404,4.262174041,7.2
E05000200,Grange,Enfield,85.18774845,13.23529412,1.144578313,3.394738048,70.89315387,0.534351145,382.1089109,0.858053966,8.518518519,3.111468395,-5.266908061,7.2
E05000201,Haselbury,Enfield,82.29522384,26.07313196,2.372093023,10.52559809,83.39262165,0.486322188,329.636036,2.132065814,29.69072165,3.030073732,0.193839793,7.4
